"anio","numero","enunciado","opcion1","opcion2","opcion3","opcion4","opcion5","correcta"
"2005","217","¿En cuál de las siguientes reacciones NO se obtiene benzoato de metilo?:","Cloruro de benzoílo + metanol.","Anhídrido benzoico + metanol.","Benzamida + metanol.","Benzoato de fenilo + metanol.","Bromuro de benzoilo + metanol.","3"
"2005","218","218. ¿Cuál de los siguientes elementos es más oxidante?:","Li","F2","I 2","Na","Cl2","2"
"2005","219","219. El cartílago Cricoides forma parte de:","La faringe.","La laringe.","El paladar.","La unión de la clavícula con la escápula.","La sínfisis del pubis.","2"
"2005","220","La arteria hepática común, la arteria esplénica y la arteria gástrica izquierda son las tres ramas en que se divide:","El tronco braquiocefálico.","La arteria mesentérica superior.","La aorta descendente.","El tronco celíaco.","La arteria gástrica.","4"
"2005","221","221. ¿Qué músculo se extiende desde la espina ilíaca anterosuperior hasta el cóndilo medial de la tibia y está inervado por el nervio femoral?:","El vasto medial del cuádriceps femoral.","El aductor largo.","El sartorio.","El tibial anterior.","El bíceps femoral.","3"
"2005","222","La apófisis pterigoides pertenece al hueso:","Etmoides.","Esfenoides.","Maxilar.","Occipital.","Palatino.","2"
"2005","223","¿En cuál de las siguientes apófisis se inserta la cabeza corta del bíceps?:","Mastoides.","Coronoides.","Coracoides.","Estiloides.","Braquial.","3"
"2005","224","¿Cuál de los siguientes pares craneales inerva los músculos de la masticación?:","El II.","El IX.","El III.","El VI.","El V.","5"
"2005","225","Para caracterizar la relación lineal de dos variables cuantitativas, ¿cuál es la técnica estadística adecuada?:","Regresión.","ANOVA.","Correlación.","Test t de Student.","Chi-cuadrado.","1"
"2005","226","El número de semillas de una determinada planta es una variable de tipo:","Cualitativa.","Ordinal.","Cuantitativa discreta.","Cuantitativa continua.","Dicotómica.","3"
"2005","227","¿Qué representación gráfica es la más adecuada para representar la relación entre dos variables cuantitativas?:","Nube de puntos.","Gráfico de cajas.","Diagrama de sectores.","Polígono de frecuencias.","Pictograma.","1"
"2005","228","¿Cuál de las siguientes es una evaluación económica completa?:","Minimización de costes.","Análisis de costes.","Descripción de costes.","Descripción de costes y resultados.","Evaluación de efectividad.","1"
"2005","229","229. ¿Qué condición NO es necesaria para que se de una evaluación económica completa?:","Que se comparen varias alternativas.","Que se valoren costes.","Que se valoren efectos sobre la salud.","Que se cuantifiquen los efectos sobre los recursos.","Que las alternativas sean del mismo tipo, es decir todas fármacos, todas preventivas, todas quirúrgicas, etc.","5"
"2005","230","230. Señale la opción FALSA respecto a los estudios de coste-utilidad:","La medida de efectividad se corrige por calidad de vida.","Se valoran los costes.","Los valores de utilidad representan las preferencias de los pacientes.","La utilidad generalmente tiene valores de -1 a 1.","Como resultado nos interesa el análisis incremental.","4"
"2005","231","231. El ejercicio de las funciones estatales en materia de fijación del precio de los medicamentos es competencia de:","Dirección General de Farmacia y Productos Sanitarios.","Instituto de Salud 'Carlos III'.","Consejo Interterritorial del Sistema Nacional de Salud.","Agencia Española de Medicamentos y Productos Sanitarios.","Secretaría General de Sanidad.","1"
"2005","232","232. El plazo de validez de una receta médica, destinada a tratamiento ordinario, es de:","Quince días hábiles a partir de la fecha de prescripción consignada en ella.","El que determine cada Comunidad Autónoma.","Sólo las recetas del Sistema Nacional de Salud tienen plazo de validez.","Diez días hábiles a partir de la fecha de prescripción consignada en ella.","Diez días naturales a partir de la fecha de prescripción consignada en ella.","5"
"2005","233","233. El medicamento destinado a un paciente individualizado, preparado por el farmacéutico o bajo su dirección, para complementar expresamente una prescripción facultativa detallada de las sustancias medicinales que incluye, según las normas técnicas y científicas del arte farmacéutico, dispensado en una farmacia o servicio farmacéutico, con la debida información al usuario es:","Medicamento prefabricado.","Producto intermedio.","Medicamento genérico.","Fórmula magistral.","Preparado oficinal.","4"
"2005","234","234. Señale la contestación FALSA sobre las características que, entre otras, deben reunir los indicadores microbiológicos de contaminación fecal:","Alta sensibilidad frente a los desinfectantes y, desde luego, siempre mayor que la que tengan los propios patógenos intestinales.","Su aislamiento e identificación deben ser fáciles de realizar.","Gran resistencia a las condiciones ambientales adversas y, en cualquier caso, mayor que la de los potenciales patógenos.","Presencia constante siempre que existan patógenos fecales.","Ser más frecuentes y numerosos que estos patógenos.","1"
"2005","235","235. La esperanza de vida:","Es una tasa epidemiológica positiva que indica la calidad media de vida de una comunidad.","Es la media anual de vida de los diferentes países y comunidades.","Se calcula con base a los años potenciales de vida perdidos.","Es una previsión de los años que quedan por vivir a cada individuo a partir de una determinada edad.","Es una estimación de la cantidad y calidad de las atenciones sanitarias que recibirían los recién nacidos a lo largo de su vida en el supuesto de que todas las demás condiciones permanecieran constantes durante ese periodo.","4"
"2005","236","236. Indique qué frase es correcta sobre Determinantes de Salud:","Son actividades llevadas a cabo libremente por la comunidad, que condicionan el medio humano e influyen en la salud.","En los Países Desarrollados son preferentemente el cáncer y otras enfermedades no transmisibles mientras que en los Países en Desarrollo, se derivan de enfermedades transmisibles.","Indican circunstancias desfavorables para la salud que son elegidas voluntariamente por las personas entre varias opciones posibles.","Incluyen los cuidados y la atención sanitaria que recibe la población.","Vienen impuestos por el ambiente físico y social.","4"
"2005","237","237. La avidina es una sustancia antinutritiva que afecta a la:","- 22","Lisina.","Primidina.","Metionina.","Biotina.","4"
"2005","238","238. Exceptuando el agua, el componente cuantitativamente más importante de la leche es:","La proteína.","Las materias grasas.","El calcio.","La lactosa.","Las vitaminas.","4"
"2005","239","239. ¿En cuál de las siguientes hipersensibilidades juegan un papel principal los linfocitos Th1?:","Anafilaxis sistémica.","Reacción de Arthus.","Reacción de la tuberculina.","Asma alérgica.","Enfermedad del suero.","3"
"2005","240","240. La rinitis alérgica se debe a un:","Trastorno autoinmune.","Exceso de producción de IgE.","Déficit de producción de IgA.","Defecto de la activación de los mastocitos.","Defecto de señalización de linfocitos T.","2"
"2005","241","La presentación indirecta en el rechazo agudo de injertos tiene lugar por interacción entre células presentadoras de antígeno (APC) y linfocitos T, pero ¿de quién procede cada tipo de célula?:","Ambas del donante.","APC del donante y T del receptor.","Ambas del receptor.","APC del receptor y T del donante.","Pueden ser de cualquiera de los dos.","3"
"2005","242","242. La interleucina 12 (IL-12) es secretada en su forma activa por:","Células B y T.","Células dendríticas y macrófagos activados.","Células NK (asesinas naturales).","Células endoteliales.","Linfocitos intraepiteliales y neutrófilos.","2"
"2005","243","243. El rechazo hiperagudo se evita transplantando sólo:","Entre parientes.","De madre a hijo.","Cuando la prueba cruzada es negativa.","Cuando la prueba cruzada es positiva.","Si donante y receptor comparten 2 alelos HLA-B.","3"
"2005","244","¿Cuál de las siguientes asociaciones entre enfermedades inmunes mediadas por anticuerpos y entre el antígeno reconocido por los anticuerpos es FALSA?:","Anemia hemolítica / Proteína de membrana de eritrocitos.","Fiebre reumática aguda / Antígenos del miocardio.","Miastenia grave / Receptor de GABA.","Hipertiroidismo / Receptor de TSH.","Diabetes insulinodependiente / Receptor de insulina.","3"
"2005","245","Si la única alternativa terapéutica para un paciente con inmunodeficiencia combinada grave (SCID) es el transplante histocompatible, nos estamos refiriendo a uno de:","Riñón.","Bazo.","Timo.","Hígado.","Médula ósea.","5"
"2005","246","246. ¿Cuál de las siguientes afirmaciones sobre los eosinófilos es FALSA?:","Son granulocitos derivados de médula ósea.","Contribuyen a enfermedades alérgicas.","Expresan receptores para IgG.","Expresan receptores para IgE.","Contienen histamina en sus gránulos.","5"
"2005","247","247. Las vacunas conjugadas mejoran la respuesta ante:","Virus.","Helmintos.","Proteínas.","Polisacáridos.","Lípidos.","4"
"2005","248","Para el tratamiento de la artritis reumatoide se utiliza con éxito un anticuerpo monoclonal que reconoce:","Interleucina 4 (IL-4).","Interleucina 7 (IL-7).","Interferón gamma (IFNγ ).","Factor de necrosis tumoral alfa (TNFα ).","Factor de crecimiento transformante beta (TGFβ ).","4"
"2005","249","Indique cuál de las siguientes células del sistema inmunitario NO expresa moléculas de histocompatibilidad de clase II en humanos:","Macrófagos.","Linfocitos B.","Linfocitos T activados.","Células dendríticas.","- 23","5"
"2005","250","250. ¿Cuál de los siguientes tipos celulares actúa de forma específica (adaptativa) frente a los patógenos intracelulares?:","Eosinófilos.","Mastocitos.","Linfocitos B.","Linfocitos T.","Linfocitos NK.","4"
"2005","251","251. ¿Cuál de las siguientes reacciones metabólicas que pueden sufrir los fármacos es de fase II?:","Hidrólisis.","Epoxidación.","Azo-reducción.","Acetilación.","Hidroxilación.","4"
"2005","252","252. ¿Cuál es la vía de transmisión de Legionella pneumophila ?:","De persona a persona.","Consumo de alimentos lácteos sin tratar por calor.","Aérea.","Picadura de un artrópodo.","Contacto con animales infectados.","3"
"2005","253","253. ¿Qué motivo desaconseja la asociación de fármacos IECA con los diuréticos ahorradores de potasio?:","Pueden incrementar la tos.","Pueden bloquear la absorción de sodio.","Pueden incrementar la hiperpotasemia.","Se incrementa la actividad suprarrenal.","Se inhibe la producción de prostaglandinas.","3"
"2005","254","254. ¿En cuál de las siguientes parejas fármaco metabolito, es más activo el metabolito que su fármaco?:","Alprenolol-4-Hidroxialprenolol.","Amitriptilina-Nortriptilina.","Metoprolol-Hidroximetoprolol.","Propoxieno-Norpropoxifeno.","Verapamil-Norverapamil.","2"
"2005","255","255. En la síntesis de glucógeno, es FALSO que:","Interviene la glucogenina.","La regulación de la glucógeno sintasa en músculo depende fundamentalmente de glucagón.","La glucógeno sintasa a está fosforilada y es la forma activa.","Interviene glucosa 1-fosfato.","Interviene UDP-glucosa.","3"
"2005","256","256. En los eucariotas, el DNA satélite:","Se puede separar del DNA cromosómico por centrifugación diferencial en tampón fosfato.","Está asociado con los lisosomas.","Es el mitocondrial.","Está asociado con los centrómeros.","Es el microsomal.","4"
"2005","257","257. ¿En cuál de las siguientes situaciones clínicas estaría aconsejada la realización de una inmunofijación, además de un proteinograma?:","Macroglobulinemia de Waldestrom.","Cirrosis hepática.","Déficit de IgA.","Artritis reumatoide.","Síndrome nefrótico.","1"
"2005","258","258. En la descomposición de un fármaco en disolución se observa que el tiempo de semirreación es independiente de la concentración inicial, por lo que se puede afirmar que:","Es un proceso de orden cero.","El orden del proceso es fraccionario.","Es un proceso de primer orden.","Se trata de una reacción exotérmica.","Es un proceso de segundo orden.","3"
"2005","259","259. La esterilización en el autoclave se realiza mediante:","Óxido de etileno.","Aire caliente.","Calor seco.","Vapor saturado a presión.","Filtración.","4"
"2005","260","260. ¿Cómo se define la viscosidad intrínseca de una disolución o dispersión?:","Es el cociente entre la viscosidad de la disolución y la del disolvente puro.","Es la viscosidad relativa menos la unidad.","Es el cociente entre la viscosidad específica y la concentración.","Es el límite de la viscosidad reducida cuando la concentración tiende a cero.","Es el producto entre la viscosidad específica y la concentración.","4"
"2006","1","¿Cuál es el síntoma principal del botulismo alimentario?","Cefalea intensa con rigidez de nuca.","Diarrea disentérica.","Parálisis fláccida.","Parálisis espástica.","Bloqueo de la mandíbula (trismo).","3"
"2006","2","¿Qué efecto tiene la toxina diftérica en las células eucarióticas?:","Inhibe la síntesis de proteínas.","Produce poros en la membrana.","Induce un aumento en los niveles de AMPc.","Actúa sobre la proteína G estimuladora de la adenilciclasa produciendo un desequilibrio electrolítico.","Tiene un efecto vacuolizante.","1"
"2006","3","¿Cómo se denomina la fase de la tos ferina en la que se produce una tos convulsiva?:","Prodrómica.","Catarral.","Estacionaria.","Paroxística.","Neumónica.","4"
"2006","4","Cuál es el agente causal de las fiebres tifoideas?:","Rickettsia prowazekii.","Rickettsia rickettsii.","Ricketsia typhi.","Salmonella enterica serotipo Typhi.","Borrelia burgdorferi.","4"
"2006","5","El mecanismo de acción del fluconazol es:","Alteración de la membrana celular.","Inhibición de la síntesis de ácidos nucleicos.","Inhibición de la síntesis de proteínas.","Interacción con los microtúbulos celulares.","Inhibición de la síntesis del ergosterol.","5"
"2006","6","¿Cuál de los siguientes virus presenta en su envoltura una glicoproteína antigénica con actividad neuraminidasa?:","El virus de la rubéola.","El virus de la gripe.","El virus de la varicela.","El virus de la poliomielitis.","El virus de la hepatitis A.","2"
"2006","7","¿De cuál de las siguientes especies de Streptococcus es característica la citotoxina denominada estreptolisina O?:","S. pneumoniae.","S. pyogenes.","S. mutans.","S. agalactiae.","S. bovis.","2"
"2006","8","¿Cuál es el agente transmisor de Borrelia recurrentis , la bacteria causante de fiebre recurrente epidémica?:","Piojos.","Mosquitos.","Arañas.","Garrapatas.","Moscas.","1"
"2006","9","¿Cómo se previene la infección de los neonatos por Streptococcus agalactiae ?:","Evitando la ingestión de alimentos sin tratar térmicamente durante el embarazo.","Detectando la colonización en mujeres embarazadas y tratándolas con antibióticos.","Mediante una higiene apropiada.","Evitando las relaciones sexuales a partir del sexto mes de embarazo.","Mediante la vacunación de la madre a partir del tercer mes de embarazo.","2"
"2006","10","La mupirocina es un antibacteriano tópico eficaz contra:","Enterococos.","Estafilococos.","Especies de Corynebacterium .","Pseudomonas aeruginosa.","Enterobacterias.","2"
"2006","11","¿Cuál de los siguientes virus está asociado con el sarcoma de Kaposi?:","Papilomavirus tipo 16.","Herpesvirus humano tipo 8.","Erythrovirus (Parvovirus B19).","Virus JC.","Virus BK.","2"
"2006","12","¿Qué fragmento del lipopolisacárido bacteriano es responsable de su actividad endotóxica?:","Lípido A.","N-acetilglucosamina.","Antígeno O.","La región central del polisacárido.","Ácido teicoico.","1"
"2006","13","La panencefalitis esclerosante subaguda es una secuela neurológica tardía tras una infección vírica. ¿Qué virus es el responsable?:","Morbillivirus.","Rotavirus.","Hantavirus.","Viruela.","Poliovirus.","1"
"2006","14","El virus BK:","Es un poliomavirus zoonótico.","Se asocia con cirrosis en pacientes trasplantados hepáticos.","Produce vasculopatía del injerto en pacientes trasplantados cardíacos.","Produce nefritis intersticial en pacientes trasplantados de riñón.","Es un astrovirus humano.","4"
"2006","15","¿A qué grupo de antimicrobianos son intrínsecamente resistentes los micoplasmas?:","Quinolonas.","ß-lactámicos.","Tetraciclinas.","Aminoglicósidos.","Macrólidos.","2"
"2006","16","¿Cuál de los siguientes antivíricos usados contra el VIH es un inhibidor de la proteasa?:","Zidovudina.","Indinavir.","Efavirenz.","Nevirapina.","Lamivudina.","2"
"2006","17","El Síndrome de Chédiak-Higashi es una anomalía presente en:","Plaquetas.","Neutrófilos.","Células plasmáticas.","Eritrocitos.","Reticulocitos.","2"
"2006","18","La enfermedad de Niemann-Pick, que es una tesaurismosis, se caracteriza por el acúmulo de:","Proteína de Bence-Jones.","Esfingomielina.","Glucocerebrósidos.","Ceramida.","Plaquetas.","2"
"2006","19","¿Cuál de las siguientes pruebas de laboratorio NO se usa para la detección de la anemia megaloblástica?:","Anticuerpos anti-factor intrínseco.","Prueba de Donalt-Landsteiner.","Test de Schilling.","Determinación de folatos y cobalamina en suero.","Ensayos con ácido metilmalónico y homocis","2"
"2006","20","Para hacer el recuento hematológico se recoge sangre en un tubo de EDTA cuyo tapón, según normativa internacional, es de color:","Azul.","Rojo.","Amarillo.","Violeta.","Verde.","4"
"2006","21","¿Qué prueba de coagulación se utiliza para el control de la terapia con heparina?:","Tiempo de coagulación.","Tiempo de Protrombina (TP).","Tiempo de sangría.","Tiempo de Tromboplastina Parcial Activada (TTPA).","Fibrinógeno.","4"
"2006","22","¿Cuál de las siguientes anomalías NO se relaciona con el contenido de hemoglobina del hematíe?:","Policromatofilia o policromasia.","Esquistocitos.","Normocromos.","Hipocromos.","Anisocromía.","2"
"2006","24","¿Cómo se previene la fasciolosis?:","No comiendo plantas acuáticas crudas.","No comiendo pescados crudos.","Cocinando bien la carne de vaca.","Cocinando bien la carne de cerdo.","Evitando el contacto de la piel con aguas contaminadas.","1"
"2006","25","La filaria causante de la ceguera de los ríos es transmitida por:","Chrysops dimidiata .","Brugia timori .","Dermacentor andersoni .","Simulium damnosum .","Culicoides spp.","4"
"2006","26","¿De qué enfermedad parasitaria es característico el síndrome de Winterbottom?:","Enfermedad del sueño.","Enfermedad de Lyme.","Enfermedad de Chagas.","Disentería amebiana.","Meningoencefalitis amebiana.","1"
"2006","27","¿Cuál es el método de elección para la detección de Enterobius vermicularis?:","Cinta de Graham.","Tinción de verde de malaquita.","Cultivo de las heces en placa.","Técnica de flotación de heces frescas.","Técnica de flotación de heces formoladas.","1"
"2006","28","¿Cuál de las siguientes parasitosis es producida por Echinococcus granulosus ?:","Hidatidosis alveolar.","Quiste hidatídico.","Cenurosis.","Teniosis.","Cisticercosis.","2"
"2006","29","En procesos de mezcla de sólidos pulverulentos, la transferencia de grupos de partículas de una parte del lecho de polvo a otra, se conoce como:","Mezcla aleatoria.","Mezcla ordenada.","Mezcla por cizallamiento.","Mezcla convectiva.","Mezcla difusiva.","4"
"2006","30","En el recubrimiento pelicular de comprimidos es necesario añadir, algunas veces, plastificantes a la solución o suspensión del polímero formador de la película. ¿Cuál de los siguientes excipientes puede ejercer ese papel de plastificante en las formulaciones de recubrimiento pelicular?:","Lactosa.","Talco.","Polietilenglicol 400.","Span 60.","Dióxido de titanio.","3"
"2006","31","La compresión directa presenta un interés creciente, a pesar de sus limitaciones. ¿Cuál de las afirmaciones siguientes es una limitación real de la compresión directa?:","Comprimidos con un fármaco dosificado a bajas dosis pueden presentar problemas de uniformidad de contenido.","No se produce gran cantidad de polvo y se minimiza la generación de cargas electrostáticas.","Esta operación permite minimizar los problemas de segregación durante el mezclado y compresión.","Esta operación incrementa de forma significativa los costos de producción.","Se necesita añadir cantidades mayores de lubricantes que si se realiza una granulación.","1"
"2006","32","Se ha decidido obtener unos comprimidos por compresión de un granulado. ¿Cuál de las siguientes afirmaciones NO es una razón por la que se recurre a la granulación?:","Prevenir la segregación de los componentes en el mezclado de polvos.","Mejorar las propiedades de flujo de la mezcla.","Disminuir las fuerzas de fricción y los posibles efectos negativos de carga eléctrica.","Favorecer la expulsión de aire interpuesto.","Disminuir la densidad del producto que se va a comprimir.","5"
"2006","33","Las bases de polietilenglicol son ampliamente empleadas en la preparación de formas semisólidas de administración de fármacos sobre la piel. Sin embargo, ¿en qué circunstancia está especialmente recomendada su utilización?:","En la formulación de preparaciones destinadas al tratamiento de la pitiriasis.","En la formulación de preparaciones destinadas a tratamientos donde interese favorecer la hidratación de la piel.","En la formulación de preparaciones destinadas a promover la penetración del medicamento a través de la piel.","En la formulación de preparaciones destinadas al tratamiento de pieles seborreicas.","En la formulación de preparaciones destinadas a la administración de compuestos fenólicos.","4"
"2006","34","El acondicionamiento de formulaciones inyectables preparadas asépticamente en las que se deba mantener la esterilidad se realiza en un lugar de trabajo de clase:","Clase 10.","Clase 100.","Clase 1.000.","Clase 10.000.","Clase 100.000.","2"
"2006","35","¿Qué comportamiento reológico seleccionarías para un vehículo de una suspensión farmacéutica con el objetivo de facilitar su dosificación y que durante el periodo de almacenamiento la velocidad de sedimentación de las partículas sea lenta?:","Pseudoplástico.","Con reopexia.","Elástico.","Newtoniano.","Dilatante.","1"
"2006","36","Durante el desarrollo galénico de un medicamento se han preparado distintos granulados para posteriormente ser dosificados en cápsulas de gelatina dura. Desde el punto de vista de sus propiedades de flujo, ¿cuál sería el más adecuado?:","Granulado con un valor de compresibilidad de 14%.","- 4","Granulado con un valor de compresibilidad de 32%.","Granulado con un valor de compresibilidad de 18%","Granulado con un valor de compresibilidad de 40%.","1"
"2006","37","37. El punto de burbuja de una membrana filtrante, de tamaño de poro conocido, puede predecirse si se conoce además:","La tensión superficial y la viscosidad del líquido a filtrar.","La tensión superficial del líquido a filtrar y el ángulo de contacto del líquido a filtrar con la membrana.","La viscosidad del líquido a filtrar y el ángulo de contacto del líquido a filtrar con la membrana.","La densidad, la viscosidad y la tensión superficial del líquido a filtrar.","La tensión interfacial membrana-líquido a filtrar.","2"
"2006","38","38. En sistemas coloidales, el enturbiamiento que se observa como consecuencia de la dispersión de la luz que los atraviesa, se conoce como efecto:","Tyndall.","Donan.","Gouy-Chapman.","Stern.","DLVO.","1"
"2006","39","39. ¿Cuál de los siguientes factores NO afecta al aclaramiento de los fármacos en el organismo?:","El peso corporal.","La unión a proteínas plasmáticas.","El ionograma.","La función del órgano aclarante.","El gasto cardiaco.","3"
"2006","40","40. Indique cuál de las siguientes frases sobre la biodisponibilidad de un fármaco es FALSA:","El que un medicamento sea disponible al 100% significa que la forma de dosificación en que se administra debe liberarlo por completo.","La biodisponibilidad es la cantidad (o cantidad relativa) de medicamento inalterado que alcanza la circulación sistémica.","La biodisponibilidad aparente se calcula como el cociente entre el área bajo la curva concentración plasmática-tiempo y el área de concentraciones urinarias versus tiempo.","Para medicamentos que no pueden administrarse por vía intravenosa se determina la biodisponibilidad relativa.","Si en el cálculo de la biodisponibilidad relati","3"
"2006","41","41. Las siguientes frases hacen referencia al modelo bicompartimental lineal. ¿Cuál de ellas es INCORRECTA?:","Para fármacos polares el cerebro forma parte del compartimento periférico.","El producto de las constantes del modelo alfa y beta es igual al producto de la constante de eliminación del compartimento central (k10) por la constante de distribución entre el compartimento periférico y el central (k21).","La constante alfa es menor que la beta.","La pendiente de la fase exponencial terminal es igual al cociente -beta/2.303.","La concentración plasmática a tiempo cero es igual a la suma de las constantes A y B.","3"
"2006","43","43. El índice o factor de acumulación para un fármaco monocompartimental que presenta cinética lineal y se administra en dosis múltiples por vía intravenosa rápida, depende de:","La semivida biológica del fármaco y la dosis de mantenimiento.","La semivida biológica del fármaco y la dosis de choque o de carga.","La constante de velocidad de eliminación del fármaco y la velocidad de dosificación.","El intervalo de dosificación y la dosis de mantenimiento.","La constante de velocidad de eliminación del fármaco y el intervalo de dosificación.","5"
"2006","44","44. ¿Cuál de los siguientes fármacos presenta comportamiento cinético no-lineal a dosis terapéuticas debido a saturación en el proceso de biotransformación?:","Carbamacepina.","Fenitoína.","- 5","Penicilina G.","Diacepam.","2"
"2006","45","45. En Farmacocinética, el término disposición engloba a los procesos de:","Absorción, distribución y eliminación.","Distribución y metabolismo.","Distribución y excreción.","Distribución y eliminación.","Absorción y eliminación.","4"
"2006","46","46. La absorción gastrointestinal de uno de los siguientes fármacos es independiente del pH existente en dicho tracto:","Furosemida; fármaco de carácter ácido y pKa = 3,9 .","Sulfametoxazol; fármaco de carácter ácido y pKa = 6,0 .","Propoxifeno; fármaco de carácter básico y pKa = 6,3 .","Morfina; fármaco de carácter básico y pKa = 8,0 .","Clortalidona; fármaco de carácter ácido y pKa = 9,4 .","5"
"2006","47","47. Cuando el proceso de liberación de un fármaco es factor limitante de su absorción, la fase generalmente responsable de este hecho es:","La difusión del fármaco a través de la membrana absorbente.","La disgregación de la forma farmacéutica en el lugar de absorción.","La disolución del principio activo en el lugar de absorción.","La difusión del fármaco a través del líquido presente en el lugar de absorción para llegar a la membrana absorbente.","La microdesagregación de los polvos y cristales en el lugar de absorción.","3"
"2006","48","48. En un régimen de dosis múltiples caracterizado por una dosis de mantenimiento (D) y un intervalo de dosificación ( τ ) similar a la semivida de eliminación del fármaco, cuando se alcanza la situación de equilibrio:","La velocidad de administración (D/ τ ) es mayor que la velocidad de eliminación del fármaco.","La velocidad de administración (D/ τ ) es menor que la velocidad de eliminación del fármaco.","La velocidad de administración (D/ τ ) es igual a la velocidad de eliminación del fármaco.","El intervalo de dosificación se hace mayor que la semivida de eliminación.","La semivida de eliminación aumenta respecto al valor que presenta tras la primera dosis.","3"
"2006","49","49. ¿Cuál de las siguientes vías extravasales de administración de medicamentos formulados para conseguir una acción sistémica presentan una superficie de absorción para el fármaco superior a 50 m 2 ?:","Las vías oral y nasal.","Las vías oral y pulmonar.","Las vías pulmonar y percutánea.","Las vías pulmonar y nasal.","Las vías nasal y percutánea.","2"
"2006","50","50. Un fármaco de naturaleza ácida débil y pKa igual a 4,5, presentará máxima reabsorción en los túbulos renales a:","pH = 2.","pH = 4,5.","pH = 5.","pH = 6,5.","pH = 8.","1"
"2006","51","51. El parámetro farmacocinético volumen aparente de distribución de un fármaco es:","El volumen anatómico real en el cual se distribuye el fármaco.","La constante que relaciona la cantidad de fármaco presente en el organismo con la concentración plasmática de dicho fármaco.","Tanto mayor cuanto más unido se encuentra el fármaco a proteínas plasmáticas y menos a tisulares.","Tanto menor cuanto más unido se encuentra el fármaco a proteínas tisulares y menos a proteínas plasmáticas.","El volumen de sangre que se depura completamente de fármaco en la unidad de tiempo.","2"
"2006","52","52. Indique sobre cuál de los siguientes fármacos tiene poca importancia clínica la alteración del aclaramiento de creatinina en el anciano:","Penicilina.","Digoxina.","Cimetidina.","Aminoglucósidos.","No se afecta ninguno.","1"
"2006","53","53. ¿Cuál de los siguientes antibióticos administraría a un paciente con antecedentes de alergia o resistencia a las penicilinas?:","Cloxacilina.","Meropenem.","Cefadroxilo.","Claritromicina.","Trimetoprima.","4"
"2006","54","EXCEPTO:","Cmáx/AUC0 ∞ .","AUC0 ∞ .","Cmáx.","AUCtmáx/AUC0 ∞ .","ka.","2"
"2006","55","¿En qué consiste la eficiencia?:","En maximizar los beneficios de los recursos existentes.","En gastar cada vez menos.","Es sinónimo de eficacia.","Es sinónimo de efectividad.","En minimizar los beneficios de los recursos existentes.","1"
"2006","56","¿Qué se compara en una evaluación económica completa en el campo sanitario?:","Costes de una alternativa.","Beneficios de una alternativa.","Costes de varias alternativas.","Efectos sobre la salud de varias alternativas.","Costes y efectos sobre la salud de varias alternativas.","5"
"2006","57","Señale la opción correcta respecto a los costes en las evaluaciones económicas en el campo sanitario:","Son independientes del punto de vista del análisis.","Se trabaja con costes de oportunidad.","Se restringen al sector sanitario.","No es necesario corregir el coste por tiempo en que se produzca dicho coste.","Los costes de personal sanitario no se consideran.","2"
"2006","58","58. La actividad terapéutica de la Acetazolamida en el glaucoma se debe a que:","Disminuye la formación del humor acuoso al disminuir la formación de bicarbonato.","Disminuye la presión osmótica del humor acuoso.","Aumenta el drenaje del humor acuoso.","Inhibe el cotransporte Cl -/ Na + con lo cual modifica el voltaje del humor acuoso.","Relaja el músculo ciliar y del esfínter del iris.","1"
"2006","59","Los inhibidores de la bomba de protones:","Son menos eficaces que los antagonistas H2 en el reflujo gastroesofágico.","Son menos eficaces que los antagonistas H2 en el síndrome Zollinger-Ellison.","Su acción implica la formación de puentes de H permanentes con la H + / K + -ATPasa.","Su acción implica la formación de puentes disulfuro permanentes con la H + / K + -ATPasa.","Su actividad guarda relación con su concentración plasmática.","4"
"2006","60","El Infliximab es un:","Antagonista IFNα (Interferonα ).","Antagonista TNFα (Factor de necrosis tumoralα ).","Antagonista de IL-2 (Interleukina 2).","Antagonista de quimioquinas.","Antagonista PAF (Factor Activador de Plaquetas).","2"
"2006","61","La amitriptilina, además de en la depresión, está indicada en:","Psicosis tóxica.","Dolor crónico.","Inflamación.","Trastorno bipolar.","Hipertensión.","2"
"2006","62","Una de las diferencias más significativas de los ARA-II (Antagonistas del Receptor de Angiotensina-II) con respecto a los IECA es:","Reducen la hipertrofia cardiaca.","Disminuyen el remodelado arterial.","Disminuyen la resistencia periférica total.","No liberan bradiquinina.","Presentan una mayor incidencia de edema angioneurótico.","4"
"2006","63","El 'Síndrome de cuello rojo' es una reacción adversa característica de la administración IV rápida de uno de los siguientes antiinfecciosos:","Teicoplanina.","Eritromicina.","Linezolid.","Vancomicina.","Azitromicina.","4"
"2006","64","En la práctica anestésica, para revertir la sedación provocada por benzodiacepinas se utiliza uno de los siguientes fármacos:","Naloxona.","Mesna.","Folinato cálcico.","N-acetilcisteína.","Flumazenil.","5"
"2006","65","De los fármacos reseñados, ¿Cuál de ellos puede producir mielotoxicidad?:","Haloperidol.","Clozapina.","Olanzapina.","Risperidona.","Aripiprazol.","2"
"2006","66","Indique cuál de los siguientes brocodilatadores adrenérgicos debe utilizar formulaciones de liberación prolongada para poder ser administrado en dos tomas diarias (C/12h):","Salmeterol.","Bambuterol.","Formoterol.","Salbutamol.","Clentuberol.","4"
